_id,count,avg_rating
Drama,12385,6.803377338624768
Comedy,6532,6.450214658080344
Romance,3318,6.6564272782136396
Crime,2457,6.688585405625764
Thriller,2454,6.304498977505112
Action,2381,6.347098402018503
Adventure,1900,6.493680884676145
Documentary,1834,7.365679824561403
Horror,1470,5.784709897610922
Biography,1269,7.087984189723319
Family,1249,6.3296712109061755
Mystery,1139,6.527425044091711
Fantasy,1055,6.3829847908745245
Sci-Fi,958,6.123609653725079
Animation,912,6.89669603524229
History,874,7.1696100917431185
Music,780,6.883333333333334
War,699,7.128591954022989
Short,442,7.377574370709382
Musical,440,6.665831435079727
Sport,366,6.749041095890411
Western,242,6.823553719008264
Film-Noir,77,7.397402597402598
News,44,7.252272727272728
Talk-Show,1,7.0
