year,avg_rating,n
1903,7.4,1
1909,6.6,1
1911,7.3,2
1913,6.0,1
1914,6.8999999999999995,3
1915,6.6,2
1916,6.1,2
1917,6.9,2
1918,6.6,1
1919,7.0,1
1920,6.9750000000000005,4
1921,7.4,5
1922,7.2,3
1923,7.15,2
1924,7.333333333333333,6
1925,7.3999999999999995,3
1926,7.3500000000000005,6
1927,7.225,4
1928,7.2375,8
1929,7.057142857142857,7
1930,6.970000000000001,10
1931,7.215000000000001,20
1932,7.377777777777778,18
1933,7.185,20
1934,7.173913043478261,23
1935,7.203225806451614,31
1936,7.183333333333334,30
1937,7.261290322580645,31
1938,7.286842105263157,38
1939,7.529999999999999,20
1940,7.116666666666667,24
1941,7.25,24
1942,7.316666666666666,30
1943,7.2625,32
1944,7.452173913043478,23
1945,7.131034482758621,29
1946,7.397058823529412,34
1947,7.2250000000000005,29
1948,7.223214285714286,56
1949,7.175000000000001,52
1950,7.0618181818181816,55
1951,7.2407407407407405,54
1952,7.286666666666666,45
1953,7.104615384615385,65
1954,7.21063829787234,47
1955,7.240298507462687,67
1956,7.219402985074627,67
1957,7.098591549295775,71
1958,7.1160000000000005,75
1959,7.1281690140845075,71
1960,7.205479452054795,73
1961,7.116176470588235,68
1962,7.167142857142857,70
1963,6.994202898550725,69
1964,7.21860465116279,86
1965,7.257142857142856,77
1966,6.950574712643679,87
1967,7.009876543209876,81
1968,7.096629213483146,89
1969,7.0607476635514015,107
1970,7.079166666666667,120
1971,7.228301886792453,106
1972,7.0719008264462815,121
1973,7.074107142857143,112
1974,7.218446601941747,103
1975,7.043925233644861,107
1976,6.931896551724138,116
1977,7.05655737704918,123
1978,6.775,128
1979,6.901526717557252,131
1980,6.638922155688623,167
1981,6.7005952380952385,168
1982,6.777401129943502,177
1983,6.774534161490683,161
1984,6.636683417085427,199
1985,6.722751322751322,189
1986,6.617894736842106,190
1987,6.636036036036036,222
1988,6.511553784860558,251
1989,6.679741379310345,232
1990,6.652,225
1991,6.610084033613446,238
1992,6.6977777777777785,270
1993,6.608394160583941,274
1994,6.62327868852459,305
1995,6.600806451612903,372
1996,6.569041769041768,407
1997,6.6029612756264235,439
1998,6.638791423001949,513
1999,6.620582524271844,515
2000,6.518588640275388,581
2001,6.5663398692810455,612
2002,6.547749196141479,622
2003,6.5318407960199005,603
2004,6.656342182890856,678
2005,6.582748948106592,713
2006,6.597286821705427,774
2007,6.585555555555556,810
2008,6.552994350282486,886
2009,6.506543075245365,917
2010,6.512832369942197,866
2011,6.453415453527435,893
2012,6.484486373165618,955
2013,6.491477787851315,1105
2014,6.57874531835206,1073
2015,6.951388888888889,480
2016,,1
